[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=220cab0
[0] MPI startup(): Multi-threaded optimized library
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=1ce5ab0
[0] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[0] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[0] MPI startup(): dapl data transfer mode
[1] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[1] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[1] MPI startup(): dapl data transfer mode
[0] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[0] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[0] MPI startup(): Rank    Pid      Node name  Pin cpu
[0] MPI startup(): 0       32762    c7219      +1
[0] MPI startup(): 1       29693    c7224      +1
[0] MPI startup(): I_MPI_DEBUG=5
	#bytes	#repetitions	t_min[usec]		t_max[usec]		t[usec]		MBytes/sec
	0	1000	0.02753734588623046875		0.02896785736083984375		0.02896785736083984375		0.00000000000000000000
	1	1000	0.44798851013183593750		0.44846534729003906250		0.44798851013183593750		1.06439595529536989993
	2	1000	0.44548511505126953125		0.44596195220947265625		0.44548511505126953125		2.14075461600214067559
	4	1000	0.46145915985107421875		0.46145915985107421875		0.46145915985107421875		4.13329888917592391806
	8	1000	0.46050548553466796875		0.46050548553466796875		0.46050548553466796875		8.28371731814651823811
	16	1000	0.45943260192871093750		0.45943260192871093750		0.45943260192871093750		16.60612350804359138579
	32	1000	0.45990943908691406250		0.46038627624511718750		0.45990943908691406250		33.17781233799896511982
	64	1000	0.48601627349853515625		0.48601627349853515625		0.48601627349853515625		62.79126808928133840482
	128	1000	0.51307678222656250000		0.51307678222656250000		0.51307678222656250000		118.95910780669144912736
	256	1000	0.60141086578369140625		0.60153007507324218750		0.60141086578369140625		202.97324083250742887685
	512	1000	0.66697597503662109375		0.66697597503662109375		0.66697597503662109375		366.04110813226094478523
	1024	1000	0.74243545532226562500		0.74291229248046875000		0.74243545532226562500		657.67501605651898444194
	2048	1000	0.91600418090820312500		0.91600418090820312500		0.91600418090820312500		1066.11140031233730951499
	4096	1000	1.13499164581298828125		1.13499164581298828125		1.13499164581298828125		1720.82764415502560950699
	8192	1000	1.74152851104736328125		1.74152851104736328125		1.74152851104736328125		2243.00088986241371458163
	16384	1000	3.70097160339355468750		3.70097160339355468750		3.70097160339355468750		2110.93216517425753409043
	32768	1000	6.05750083923339843750		6.05797767639160156250		6.05750083923339843750		2579.44660920218848332297
	65536	640	12.15934753417968750000		12.16009259223937988281		12.15934753417968750000		2570.03921568627447413746
	131072	320	24.24046397209167480469		24.24195408821105957031		24.24195408821105957031		2578.17500076835631261929
	262144	160	62.03129887580872292574		62.04694509506224875395		62.04694509506224875395		2014.60361680155642716272
	524288	80	118.76374483108520507812		118.79950761795043945312		118.79950761795043945312		2104.38582627782989220577
	1048576	40	241.67597293853759765625		241.76239967346191406250		241.76239967346191406250		2068.14624885974217249895
	2097152	20	521.20089530944824218750		521.34990692138671875000		521.34990692138671875000		1918.09758997576273031882
	4194304	10	1052.49881744384765625000		1052.95181274414062500000		1052.95181274414062500000		1899.42215379041772393975
