[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=10d1ab0
[0] MPI startup(): Multi-threaded optimized library
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=d65ab0
[1] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[1] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[1] MPI startup(): dapl data transfer mode
[0] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[0] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[0] MPI startup(): dapl data transfer mode
[0] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[0] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[0] MPI startup(): Rank    Pid      Node name  Pin cpu
[0] MPI startup(): 0       13676    c7245      +1
[0] MPI startup(): 1       16272    c7246      +1
[0] MPI startup(): I_MPI_DEBUG=5
	#bytes	#repetitions	t_min[usec]		t_max[usec]		t[usec]		MBytes/sec
	0	1000	0.04148483276367187500		0.04148483276367187500		0.00000000000000000000		0.00000000000000000000
	1	1000	0.02753734588623046875		0.02861022949218750000		0.00000000000000000000		16.66666666666666785090
	2	1000	0.55301189422607421875		0.55301189422607421875		0.00000000000000000000		1.72450959258460856383
	4	1000	0.59795379638671875000		0.59807300567626953125		0.00000000000000000000		3.18915686665337849703
	8	1000	0.55849552154541015625		0.55897235870361328125		0.00000000000000000000		6.82448283216037498988
	16	1000	0.57554244995117187500		0.57554244995117187500		0.00000000000000000000		13.25600662800331264179
	32	1000	0.57291984558105468750		0.57351589202880859375		0.00000000000000000000		26.63337494798168947341
	64	1000	0.52642822265625000000		0.52654743194580078125		0.00000000000000000000		57.95788997056826019616
	128	1000	0.55289268493652343750		0.55348873138427734375		0.00000000000000000000		110.39241052177662538725
	256	1000	0.57208538055419921875		0.57244300842285156250		0.00000000000000000000		213.37778703896643150983
	512	1000	0.63645839691162109375		0.63645839691162109375		0.00000000000000000000		383.59243303989507012375
	1024	1000	0.66149234771728515625		0.66161155700683593750		0.00000000000000000000		738.01801801801809688186
	2048	1000	0.73409080505371093750		0.73444843292236328125		0.00000000000000000000		1330.30204611886961174605
	4096	1000	0.88107585906982421875		0.88548660278320312500		0.00000000000000000000		2216.75010147476677957457
	8192	1000	1.11043453216552734375		1.11055374145507812500		0.00000000000000000000		3517.76704240472372475779
	16384	1000	1.91700458526611328125		1.91700458526611328125		0.00000000000000000000		4075.36844723586864347453
	32768	1000	4.00853157043457031250		4.00900840759277343750		0.00000000000000000000		3897.93612085885933993268
	65536	640	6.19608908891677856445		6.19683414697647094727		0.00000000000000000000		5043.50398316548944421811
	131072	320	12.58142292499542236328		12.58440315723419189453		0.00000000000000000000		4967.64160720101790502667
	262144	160	24.96540546417236328125		24.96913075447082519531		0.00000000000000000000		5006.92849468783515476389
	524288	80	64.59951400756835937500		64.63825702667236328125		0.00000000000000000000		3867.67854672875637334073
	1048576	40	124.02534484863282671085		124.08792972564697265625		0.00000000000000000000		4029.40077335062596830539
	2097152	20	256.62779808044433593750		256.75296783447265625000		0.00000000000000000000		3894.79431702107876844821
	4194304	10	568.74752044677734375000		569.00978088378906250000		0.00000000000000000000		3514.87806921981064078864
