[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=b1cab0
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=c77ab0
[0] MPI startup(): Multi-threaded optimized library
[0] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[0] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[0] MPI startup(): dapl data transfer mode
[1] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[1] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[1] MPI startup(): dapl data transfer mode
[0] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[0] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[0] MPI startup(): Rank    Pid      Node name  Pin cpu
[0] MPI startup(): 0       32383    c7219      +1
[0] MPI startup(): 1       29432    c7224      +1
[0] MPI startup(): I_MPI_DEBUG=5
	#bytes	#repetitions	t_min[usec]		t_max[usec]		t[usec]		MBytes/sec
	0	1000	0.02753734588623046875		0.02956390380859375000		0.02956390380859375000		0.00000000000000000000
	1	1000	0.55944919586181640625		0.55956840515136718750		0.55944919586181640625		0.85233326230556150094
	2	1000	0.54144859313964843750		0.54144859313964843750		0.54144859313964843750		1.76133861734918539810
	4	1000	0.53894519805908203125		0.53954124450683593750		0.53954124450683593750		3.53513035793194907441
	8	1000	0.53751468658447265625		0.53799152374267578125		0.53799152374267578125		7.09062707733215180639
	16	1000	0.54454803466796875000		0.54454803466796875000		0.54454803466796875000		14.01050788091068355357
	32	1000	0.57697296142578125000		0.57697296142578125000		0.57697296142578125000		26.44628099173553792411
	64	1000	0.58901309967041015625		0.58948993682861328125		0.58901309967041015625		51.81137421574580059769
	128	1000	0.64349174499511718750		0.64349174499511718750		0.64349174499511718750		94.84994442386069124495
	256	1000	0.64599514007568359375		0.64599514007568359375		0.64599514007568359375		188.96475364458387957711
	512	1000	0.66101551055908203125		0.66494941711425781250		0.66494941711425781250		367.15668698458227936499
	1024	1000	0.75900554656982421875		0.75900554656982421875		0.75900554656982421875		643.31710381655409491941
	2048	1000	0.86998939514160156250		0.86998939514160156250		0.86998939514160156250		1122.49931488078914298967
	4096	1000	1.17290019989013671875		1.17301940917968750000		1.17301940917968750000		1665.04065040650402806932
	8192	1000	1.99592113494873024671		1.99604034423828125000		1.99592113494873024671		1957.11640685659699556709
	16384	1000	4.08339500427246093750		4.08351421356201171875		4.08339500427246093750		1913.23641034623710766027
	32768	1000	6.11996650695800781250		6.12044334411621093750		6.11996650695800781250		2553.11854766449778253445
	65536	640	12.24521547555923461914		12.24540174007415771484		12.24521547555923461914		2552.01715824219263595296
	131072	320	24.27026629447937011719		24.27026629447937011719		24.27026629447937011719		2575.16745970836518608849
	262144	160	63.11610341072081808989		63.13174962997436523438		63.13174962997436523438		1979.98631009984183037886
	524288	80	119.44472789764404296875		119.48198080062866210938		119.48198080062866210938		2092.36571343052764859749
	1048576	40	242.91276931762695312500		242.96343326568603515625		242.96343326568603515625		2057.92284575283656522515
	2097152	20	517.92263984680175781250		518.04780960083007812500		518.04780960083007812500		1930.32376832270983868511
	4194304	10	1049.35169219970703125000		1049.64971542358398437500		1049.64971542358398437500		1905.39755369047475141997
