Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;2.645016e-03;2.645016e-06;2.884442e+00
2;1000;2.667904e-03;2.667904e-06;5.719392e+00
4;1000;2.655029e-03;2.655029e-06;1.149425e+01
8;1000;2.666950e-03;2.666950e-06;2.288575e+01
16;1000;2.613068e-03;2.613068e-06;4.671533e+01
32;1000;2.624035e-03;2.624035e-06;9.304016e+01
64;1000;2.577066e-03;2.577066e-06;1.894717e+02
128;1000;2.717018e-03;2.717018e-06;3.594244e+02
256;1000;2.750158e-03;2.750158e-06;7.101864e+02
512;1000;2.850056e-03;2.850056e-06;1.370587e+03
1024;1000;3.098011e-03;3.098011e-06;2.521779e+03
2048;1000;3.512144e-03;3.512144e-06;4.448849e+03
4096;1000;5.342960e-03;5.342960e-06;5.848817e+03
8192;1000;1.038408e-02;1.038408e-05;6.018827e+03
16384;1000;2.077413e-02;2.077413e-05;6.017100e+03
32768;1000;4.146194e-02;4.146194e-05;6.029626e+03
65536;640;5.290008e-02;8.265637e-05;6.049141e+03
131072;320;5.307794e-02;1.658686e-04;6.028870e+03
262144;160;5.454397e-02;3.408998e-04;5.866826e+03
524288;80;5.489111e-02;6.861389e-04;5.829724e+03
1048576;40;5.895019e-02;1.473755e-03;5.428312e+03
2097152;20;5.940080e-02;2.970040e-03;5.387133e+03
4194304;10;5.960393e-02;5.960393e-03;5.368774e+03
