Latencia (segundos);
7.867813e-06
7.867813e-06
7.867813e-06
9.536743e-07
2.861023e-06
4.053116e-06
5.006790e-06
7.867813e-06
9.536743e-07
2.503395e-05
1.215935e-05
6.914139e-06
7.152557e-06
7.867813e-06
8.106232e-06
8.106232e-06
7.867813e-06
7.152557e-06
6.914139e-06
7.152557e-06
5.006790e-06
5.960464e-06
7.152557e-06
