Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;2.499819e-03;2.499819e-06;3.051979e+00
2;1000;2.514124e-03;2.514124e-06;6.069227e+00
4;1000;2.495050e-03;2.495050e-06;1.223125e+01
8;1000;2.520084e-03;2.520084e-06;2.421949e+01
16;1000;2.460957e-03;2.460957e-06;4.960279e+01
32;1000;2.729893e-03;2.729893e-06;8.943231e+01
64;1000;2.759933e-03;2.759933e-06;1.769178e+02
128;1000;2.967119e-03;2.967119e-06;3.291282e+02
256;1000;2.933025e-03;2.933025e-06;6.659080e+02
512;1000;3.179073e-03;3.179073e-06;1.228739e+03
1024;1000;3.422976e-03;3.422976e-06;2.282371e+03
2048;1000;3.849983e-03;3.849983e-06;4.058459e+03
4096;1000;5.305052e-03;5.305052e-06;5.890612e+03
8192;1000;1.047492e-02;1.047492e-05;5.966633e+03
16384;1000;2.088284e-02;2.088284e-05;5.985774e+03
32768;1000;4.168606e-02;4.168606e-05;5.997209e+03
65536;640;5.306101e-02;8.290783e-05;6.030794e+03
131072;320;5.299187e-02;1.655996e-04;6.038662e+03
262144;160;5.467010e-02;3.416881e-04;5.853291e+03
524288;80;5.484700e-02;6.855875e-04;5.834412e+03
1048576;40;5.883503e-02;1.470876e-03;5.438937e+03
2097152;20;5.948997e-02;2.974498e-03;5.379058e+03
4194304;10;6.015897e-02;6.015897e-03;5.319240e+03
