Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;2.192974e-03;2.192974e-06;8.697543e-01
2;1000;2.130032e-03;2.130032e-06;1.790911e+00
4;1000;2.137184e-03;2.137184e-06;3.569835e+00
8;1000;2.140999e-03;2.140999e-06;7.126949e+00
16;1000;2.160072e-03;2.160072e-06;1.412804e+01
32;1000;3.283978e-03;3.283978e-06;1.858574e+01
64;1000;3.237009e-03;3.237009e-06;3.771083e+01
128;1000;3.317118e-03;3.317118e-06;7.360023e+01
256;1000;3.427029e-03;3.427029e-06;1.424795e+02
512;1000;3.588915e-03;3.588915e-06;2.721052e+02
1024;1000;3.929138e-03;3.929138e-06;4.970874e+02
2048;1000;4.918098e-03;4.918098e-06;7.942602e+02
4096;1000;5.447865e-03;5.447865e-06;1.434048e+03
8192;1000;7.026911e-03;7.026911e-06;2.223594e+03
16384;1000;8.720875e-03;8.720875e-06;3.583356e+03
32768;1000;1.195312e-02;1.195312e-05;5.228762e+03
65536;640;1.208997e-02;1.889057e-05;6.617057e+03
131072;320;1.348090e-02;4.212782e-05;5.934321e+03
262144;160;9.989023e-03;6.243140e-05;8.008791e+03
524288;80;1.077080e-02;1.346350e-04;7.427491e+03
1048576;40;1.012516e-02;2.531290e-04;7.901110e+03
2097152;20;1.056194e-02;5.280972e-04;7.574364e+03
4194304;10;1.156211e-02;1.156211e-03;6.919153e+03
