Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;5.362034e-03;5.362034e-06;1.422855e+00
2;1000;5.210876e-03;5.210876e-06;2.928258e+00
4;1000;5.263090e-03;5.263090e-06;5.798414e+00
8;1000;5.132914e-03;5.132914e-06;1.189094e+01
16;1000;5.170822e-03;5.170822e-06;2.360752e+01
32;1000;6.191015e-03;6.191015e-06;3.943467e+01
64;1000;6.134987e-03;6.134987e-06;7.958962e+01
128;1000;6.378889e-03;6.378889e-06;1.530929e+02
256;1000;6.628990e-03;6.628990e-06;2.946339e+02
512;1000;6.952047e-03;6.952047e-06;5.618848e+02
1024;1000;7.795095e-03;7.795095e-06;1.002233e+03
2048;1000;9.706020e-03;9.706020e-06;1.609826e+03
4096;1000;1.298189e-02;1.298189e-05;2.407199e+03
8192;1000;2.007699e-02;2.007699e-05;3.113016e+03
16384;1000;3.435922e-02;3.435922e-05;3.638034e+03
32768;1000;7.133508e-02;7.133508e-05;3.504587e+03
65536;640;1.263409e-01;1.974076e-04;2.532831e+03
131072;320;1.223340e-01;3.822938e-04;2.615789e+03
262144;160;1.070561e-01;6.691009e-04;2.989086e+03
524288;80;1.329970e-01;1.662463e-03;2.406069e+03
1048576;40;1.330490e-01;3.326225e-03;2.405129e+03
2097152;20;1.410482e-01;7.052410e-03;2.268728e+03
4194304;10;1.575351e-01;1.575351e-02;2.031294e+03
