Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;9.601116e-04;9.601116e-07;7.946362e+00
2;1000;9.300709e-04;9.300709e-07;1.640605e+01
4;1000;8.940697e-04;8.940697e-07;3.413333e+01
8;1000;1.033068e-03;1.033068e-06;5.908147e+01
16;1000;1.005888e-03;1.005888e-06;1.213558e+02
32;1000;1.152992e-03;1.152992e-06;2.117452e+02
64;1000;1.250029e-03;1.250029e-06;3.906161e+02
128;1000;1.320839e-03;1.320839e-06;7.393502e+02
256;1000;1.466990e-03;1.466990e-06;1.331383e+03
512;1000;1.706123e-03;1.706123e-06;2.289547e+03
1024;1000;2.254009e-03;2.254009e-06;3.466046e+03
2048;1000;3.223896e-03;3.223896e-06;4.846620e+03
4096;1000;6.623983e-03;6.623983e-06;4.717705e+03
8192;1000;1.164412e-02;1.164412e-05;5.367514e+03
16384;1000;2.167797e-02;2.167797e-05;5.766222e+03
32768;1000;4.153419e-02;4.153419e-05;6.019138e+03
65536;640;5.011415e-02;7.830337e-05;6.385421e+03
131072;320;4.871607e-02;1.522377e-04;6.568675e+03
262144;160;4.868913e-02;3.043070e-04;6.572309e+03
524288;80;4.854798e-02;6.068498e-04;6.591417e+03
1048576;40;4.887199e-02;1.221800e-03;6.547717e+03
2097152;20;4.999709e-02;2.499855e-03;6.400372e+03
4194304;10;5.212784e-02;5.212784e-03;6.138754e+03
