[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=1066ad0
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=124aad0
[0] MPI startup(): Multi-threaded optimized library
[0] MPI startup(): shm data transfer mode
[1] MPI startup(): shm data transfer mode
[0] MPI startup(): Rank    Pid      Node name  Pin cpu
[0] MPI startup(): 0       24540    c7249      +1
[0] MPI startup(): 1       24541    c7249      +1
[0] MPI startup(): I_MPI_DEBUG=5
SendRecv
#bytes		#repeticiones	tiempo[μseg]	Mbytes/sec
0		1000		0.323057	0.000000
1		1000		0.386000	2.470661
2		1000		0.362992	5.254516
4		1000		0.316978	12.034599
8		1000		0.305057	25.009769
16		1000		0.306964	49.708738
32		1000		0.325084	93.876054
64		1000		0.325918	187.271397
128		1000		0.388026	314.592934
256		1000		0.362039	674.349687
512		1000		0.446916	1092.558015
1024		1000		0.479937	2034.773969
2048		1000		0.563979	3463.115620
4096		1000		0.857472	4555.540108
8192		1000		1.381516	5655.017689
16384		1000		3.171444	4926.777928
32768		1000		5.718946	5464.293159
65536		640		8.356944	7478.810681
131072		320		14.049932	8896.839984
262144		160		26.349723	9487.765651
524288		80		48.956275	10213.195349
1048576		40		93.987584	10639.703206
2097152		20		187.277794	10679.322724
4194304		10		387.597084	10319.995079
