Latencia (segundos);
4.053116e-06
2.813339e-05
1.096725e-05
1.192093e-05
1.096725e-05
1.096725e-05
2.598763e-05
1.811981e-05
2.145767e-06
7.152557e-06
7.867813e-06
4.053116e-06
6.198883e-06
7.152557e-06
6.914139e-06
8.821487e-06
8.106232e-06
9.059906e-06
9.059906e-06
2.098083e-05
5.006790e-06
6.914139e-06
5.960464e-06
