Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;1.704931e-03;1.704931e-06;8.949797e+00
2;1000;1.601934e-03;1.601934e-06;1.905045e+01
4;1000;1.590014e-03;1.590014e-06;3.838656e+01
8;1000;1.567125e-03;1.567125e-06;7.789442e+01
16;1000;1.572847e-03;1.572847e-06;1.552221e+02
32;1000;1.646042e-03;1.646042e-06;2.966396e+02
64;1000;1.588106e-03;1.588106e-06;6.149227e+02
128;1000;1.677036e-03;1.677036e-06;1.164629e+03
256;1000;1.729012e-03;1.729012e-06;2.259239e+03
512;1000;1.693010e-03;1.693010e-06;4.614561e+03
1024;1000;1.880884e-03;1.880884e-06;8.307263e+03
2048;1000;2.133846e-03;2.133846e-06;1.464492e+04
4096;1000;3.035069e-03;3.035069e-06;2.059262e+04
8192;1000;5.872011e-03;5.872011e-06;2.128743e+04
16384;1000;6.990194e-03;6.990194e-06;3.576438e+04
32768;1000;1.174688e-02;1.174688e-05;4.256448e+04
65536;640;1.499701e-02;2.343282e-05;4.267519e+04
131072;320;1.475215e-02;4.610047e-05;4.338351e+04
262144;160;1.459694e-02;9.123087e-05;4.384481e+04
524288;80;1.426411e-02;1.783013e-04;4.486786e+04
1048576;40;1.402497e-02;3.506243e-04;4.563289e+04
2097152;20;1.409101e-02;7.045507e-04;4.541901e+04
4194304;10;1.447892e-02;1.447892e-03;4.420219e+04
