#bytes	#repetitions	t[μsec]	Mbytes/sec
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=da8ad0
#bytes	#repetitions	t[μsec]	Mbytes/sec
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=981ad0
[0] MPI startup(): Multi-threaded optimized library
[1] MPI startup(): shm data transfer mode
[0] MPI startup(): shm data transfer mode
[0] MPI startup(): Rank    Pid      Node name  Pin cpu
[0] MPI startup(): 0       7167     c7001      +1
[0] MPI startup(): 1       7168     c7001      +1
[0] MPI startup(): I_MPI_DEBUG=5
0	10	0.500679	0.000000
1	1000	0.661135	2.751314
2	1000	0.609159	5.972129
4	1000	0.587225	12.390409
8	1000	0.535965	27.150870
16	1000	0.570059	51.054083
32	1000	0.552893	105.278407
64	1000	0.593901	196.018165
128	1000	0.557899	417.334402
256	1000	0.653982	712.039738
512	1000	0.752926	1236.937935
1024	1000	0.764132	2437.597504
2048	1000	1.002073	3717.582679
4096	1000	1.538992	4841.208366
8192	1000	2.361059	6311.218823
16384	1000	3.967047	7512.470701
32768	1000	10.154963	5869.509074
65536	640	14.884397	8009.010136
131072	320	26.053190	9151.223976
262144	160	48.269331	9878.677492
524288	80	91.075897	10471.204188
1048576	40	177.127123	10768.247131
2097152	20	361.597538	10549.566479
4194304	10	775.098801	9843.125192
