#bytes	#repetitions	t[μsec]	Mbytes/sec
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=2298ad0
#bytes	#repetitions	t[μsec]	Mbytes/sec
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=1601ad0
[0] MPI startup(): Multi-threaded optimized library
[0] MPI startup(): shm data transfer mode
[1] MPI startup(): shm data transfer mode
[0] MPI startup(): Rank    Pid      Node name  Pin cpu
[0] MPI startup(): 0       7023     c7001      +1
[0] MPI startup(): 1       7024     c7001      +1
[0] MPI startup(): I_MPI_DEBUG=5
0	1000	0.608444	0.000000
1	1000	0.720501	1.262309
2	1000	0.592470	3.070179
4	1000	0.572562	6.353858
8	1000	0.584602	12.445994
16	1000	0.538588	27.018661
32	1000	0.517964	56.188867
64	1000	0.574470	101.324186
128	1000	0.594020	195.978828
256	1000	0.603080	386.069381
512	1000	0.779033	597.742923
1024	1000	0.844002	1103.460452
2048	1000	1.027465	1812.855320
4096	1000	1.381993	2695.592168
8192	1000	2.205968	3377.465550
16384	1000	3.850937	3869.489846
32768	1000	6.858468	4345.332244
65536	640	13.304688	4479.973120
131072	320	23.521855	5068.022363
262144	160	43.509156	5479.733548
524288	80	81.868470	5824.429843
1048576	40	158.363581	6022.055779
2097152	20	319.796801	5964.251766
4194304	10	698.995590	5457.398185
