Latencia (segundos);
9.536743e-07
1.192093e-06
9.536743e-07
1.192093e-06
9.536743e-07
9.536743e-07
9.536743e-07
9.536743e-07
9.536743e-07
2.145767e-06
2.145767e-06
1.907349e-06
2.145767e-06
1.907349e-06
1.907349e-06
2.145767e-06
1.907349e-06
5.960464e-06
5.960464e-06
1.502037e-05
5.006790e-06
2.861023e-06
9.536743e-07
